transition_label,transition_name,start_city,end_city,days,season,mtu,pref_label,nature,culture,food,sport,base_score,final_score,gain,interest_matching_base,interest_matching_final,interest_matching_gain,tu_utilization_base,tu_utilization_final,tu_utilization_gain,city_visit_efficiency_base,city_visit_efficiency_final,city_visit_efficiency_gain,geographic_coverage_base,geographic_coverage_final,geographic_coverage_gain,long_travel_penalty_base,long_travel_penalty_final,long_travel_penalty_gain,travel_streak_smoothness_base,travel_streak_smoothness_final,travel_streak_smoothness_gain,stay_streak_smoothness_base,stay_streak_smoothness_final,stay_streak_smoothness_gain,runtime_seconds,violations
1,substitute_pois,"Geneva, Switzerland","Lucerne, Switzerland",4,summer,10,balanced,0.25,0.25,0.25,0.25,64.8825196,69.6552468,4.7727273,0.3939394,0.530303,0.1363636,0.95,0.95,0.0,0.6666667,0.6666667,0.0,0.6030026,0.6030026,0.0,0.7799601,0.7799601,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.151695,-
1,substitute_pois,"Geneva, Switzerland","Lucerne, Switzerland",4,summer,10,nature_food,0.4,0.2,0.3,0.3,79.9961559,79.9961559,0.0,0.8257576,0.8257576,0.0,0.95,0.95,0.0,0.6666667,0.6666667,0.0,0.6030026,0.6030026,0.0,0.7799601,0.7799601,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.094416,-
1,substitute_pois,"Geneva, Switzerland","Lucerne, Switzerland",4,summer,10,culture_food,0.1,0.4,0.3,0.2,70.4954378,79.9317123,9.4362745,0.3590686,0.6286765,0.2696078,1.0,1.0,0.0,1.0,1.0,0.0,0.6243686,0.6243686,0.0,1.0,1.0,0.0,0.7125015,0.7125015,0.0,1.0,1.0,0.0,0.228274,-
1,substitute_pois,"Interlaken, Switzerland","St. Moritz, Switzerland",4,winter,6,balanced,0.25,0.25,0.25,0.25,73.5681459,73.5681459,0.0,0.7058824,0.7058824,0.0,0.9583333,0.9583333,0.0,0.6666667,0.6666667,0.0,0.9095908,0.9095908,0.0,0.1407387,0.1407387,0.0,0.8872029,0.8872029,0.0,1.0,1.0,0.0,0.053469,-
1,substitute_pois,"Interlaken, Switzerland","St. Moritz, Switzerland",4,winter,6,nature_food,0.4,0.2,0.3,0.3,78.3062231,78.3062231,0.0,0.90625,0.90625,0.0,0.9583333,0.9583333,0.0,0.6666667,0.6666667,0.0,0.8517632,0.8517632,0.0,1e-06,1e-06,0.0,0.8872029,0.8872029,0.0,1.0,1.0,0.0,0.021275,-
1,substitute_pois,"Interlaken, Switzerland","St. Moritz, Switzerland",4,winter,6,culture_food,0.1,0.4,0.3,0.2,80.0,80.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.3333333,0.3333333,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.037937,-
1,substitute_pois,"Interlaken, Switzerland","St. Moritz, Switzerland",4,winter,10,balanced,0.25,0.25,0.25,0.25,74.4493707,74.4493707,0.0,0.75,0.75,0.0,0.95,0.95,0.0,0.6666667,0.6666667,0.0,0.9226514,0.9226514,0.0,0.0673586,0.0673586,0.0,0.8872029,0.8872029,0.0,1.0,1.0,0.0,0.07152,-
1,substitute_pois,"Interlaken, Switzerland","St. Moritz, Switzerland",4,winter,10,nature_food,0.4,0.2,0.3,0.3,68.8194444,69.7916667,0.9722222,0.6805556,0.7083333,0.0277778,1.0,1.0,0.0,0.3333333,0.3333333,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.036303,-
1,substitute_pois,"Interlaken, Switzerland","St. Moritz, Switzerland",4,winter,10,culture_food,0.1,0.4,0.3,0.2,67.9250711,74.7610086,6.8359375,0.5911458,0.7864583,0.1953125,0.975,0.975,0.0,0.6666667,0.6666667,0.0,0.8406638,0.8406638,0.0,1e-06,1e-06,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.033032,-
1,substitute_pois,"Zurich, Switzerland","Zurich, Switzerland",4,winter,6,balanced,0.25,0.25,0.25,0.25,57.9442635,57.9442635,0.0,0.3333333,0.3333333,0.0,0.9583333,0.9583333,0.0,0.3333333,0.3333333,0.0,0.4601731,0.4601731,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.011934,-
1,substitute_pois,"Zurich, Switzerland","Zurich, Switzerland",4,winter,6,nature_food,0.4,0.2,0.3,0.3,64.8203029,64.8203029,0.0,0.425,0.425,0.0,1.0,1.0,0.0,0.3333333,0.3333333,0.0,0.6630202,0.6630202,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.009058,-
