removed_label,removed_name,kept_labels,kept_names,start_city,end_city,days,season,mtu,pref_label,nature,culture,food,sport,base_score,final_score,gain,runtime_seconds,violations
2,insert_new_city,1|3,"substitute_pois,convert_travel_day_to_stay","Zurich, Switzerland","Zurich, Switzerland",4,summer,8,balanced,0.25,0.25,0.25,0.25,64.9453029,64.9453029,0.0,0.091151,-
2,insert_new_city,1|3,"substitute_pois,convert_travel_day_to_stay","Geneva, Switzerland","Lucerne, Switzerland",4,summer,8,balanced,0.25,0.25,0.25,0.25,68.6964926,80.3631593,11.6666667,0.113223,-
2,insert_new_city,1|3,"substitute_pois,convert_travel_day_to_stay","Interlaken, Switzerland","St. Moritz, Switzerland",4,winter,8,balanced,0.25,0.25,0.25,0.25,67.3773871,67.3773871,0.0,0.026579,-
2,insert_new_city,1|3,"substitute_pois,convert_travel_day_to_stay","Zurich, Switzerland","Zurich, Switzerland",4,winter,8,balanced,0.25,0.25,0.25,0.25,60.4950714,60.4950714,0.0,0.017828,-
2,insert_new_city,1|3,"substitute_pois,convert_travel_day_to_stay","Geneva, Switzerland","Lucerne, Switzerland",4,winter,8,balanced,0.25,0.25,0.25,0.25,58.3261223,62.8631593,4.537037,0.038495,-
2,insert_new_city,1|3,"substitute_pois,convert_travel_day_to_stay","Interlaken, Switzerland","St. Moritz, Switzerland",9,summer,8,balanced,0.25,0.25,0.25,0.25,76.4570073,77.34468,0.8876727,0.32529,-
2,insert_new_city,1|3,"substitute_pois,convert_travel_day_to_stay","Zurich, Switzerland","Zurich, Switzerland",9,summer,8,balanced,0.25,0.25,0.25,0.25,65.4164146,65.4164146,0.0,0.122571,-
2,insert_new_city,1|3,"substitute_pois,convert_travel_day_to_stay","Geneva, Switzerland","Lucerne, Switzerland",9,summer,8,balanced,0.25,0.25,0.25,0.25,75.738496,85.4770807,9.7385847,0.337542,-
2,insert_new_city,1|3,"substitute_pois,convert_travel_day_to_stay","Interlaken, Switzerland","St. Moritz, Switzerland",9,winter,8,balanced,0.25,0.25,0.25,0.25,71.0318192,71.0318192,0.0,0.042575,-
2,insert_new_city,1|3,"substitute_pois,convert_travel_day_to_stay","Zurich, Switzerland","Zurich, Switzerland",9,winter,8,balanced,0.25,0.25,0.25,0.25,63.1425075,63.1425075,0.0,0.040002,-
2,insert_new_city,1|3,"substitute_pois,convert_travel_day_to_stay","Geneva, Switzerland","Lucerne, Switzerland",9,winter,8,balanced,0.25,0.25,0.25,0.25,79.7934715,88.2612135,8.4677419,0.141506,-
2,insert_new_city,1|3,"substitute_pois,convert_travel_day_to_stay","Interlaken, Switzerland","St. Moritz, Switzerland",15,summer,8,balanced,0.25,0.25,0.25,0.25,79.4453673,88.400501,8.9551336,1.056562,-
2,insert_new_city,1|3,"substitute_pois,convert_travel_day_to_stay","Zurich, Switzerland","Zurich, Switzerland",15,summer,8,balanced,0.25,0.25,0.25,0.25,69.6254289,69.6254289,0.0,0.282857,-
2,insert_new_city,1|3,"substitute_pois,convert_travel_day_to_stay","Geneva, Switzerland","Lucerne, Switzerland",15,summer,8,balanced,0.25,0.25,0.25,0.25,84.619931,88.3125915,3.6926606,0.548381,-
2,insert_new_city,1|3,"substitute_pois,convert_travel_day_to_stay","Interlaken, Switzerland","St. Moritz, Switzerland",15,winter,8,balanced,0.25,0.25,0.25,0.25,81.63297,82.5438751,0.9109051,0.252935,-
2,insert_new_city,1|3,"substitute_pois,convert_travel_day_to_stay","Zurich, Switzerland","Zurich, Switzerland",15,winter,8,balanced,0.25,0.25,0.25,0.25,77.9700568,77.9700568,0.0,0.108132,-
2,insert_new_city,1|3,"substitute_pois,convert_travel_day_to_stay","Geneva, Switzerland","Lucerne, Switzerland",15,winter,8,balanced,0.25,0.25,0.25,0.25,78.3742269,83.5594121,5.1851852,0.324527,-
2,insert_new_city,1|3,"substitute_pois,convert_travel_day_to_stay","Interlaken, Switzerland","St. Moritz, Switzerland",21,summer,8,balanced,0.25,0.25,0.25,0.25,83.3706149,85.3011366,1.9305218,1.46634,-
2,insert_new_city,1|3,"substitute_pois,convert_travel_day_to_stay","Zurich, Switzerland","Zurich, Switzerland",21,summer,8,balanced,0.25,0.25,0.25,0.25,77.2747106,77.2747106,0.0,0.393983,-
2,insert_new_city,1|3,"substitute_pois,convert_travel_day_to_stay","Geneva, Switzerland","Lucerne, Switzerland",21,summer,8,balanced,0.25,0.25,0.25,0.25,78.4184858,86.5394008,8.120915,1.152516,-
2,insert_new_city,1|3,"substitute_pois,convert_travel_day_to_stay","Interlaken, Switzerland","St. Moritz, Switzerland",21,winter,8,balanced,0.25,0.25,0.25,0.25,78.9588538,83.8783954,4.9195416,0.505424,-
2,insert_new_city,1|3,"substitute_pois,convert_travel_day_to_stay","Zurich, Switzerland","Zurich, Switzerland",21,winter,8,balanced,0.25,0.25,0.25,0.25,76.1814,76.1814,0.0,0.128816,-
2,insert_new_city,1|3,"substitute_pois,convert_travel_day_to_stay","Geneva, Switzerland","Lucerne, Switzerland",21,winter,8,balanced,0.25,0.25,0.25,0.25,71.8721883,81.4354123,9.5632239,0.825053,-
3,convert_travel_day_to_stay,1|2,"substitute_pois,insert_new_city","Interlaken, Switzerland","St. Moritz, Switzerland",4,summer,8,balanced,0.25,0.25,0.25,0.25,70.4745503,77.1785373,6.703987,0.106571,-
3,convert_travel_day_to_stay,1|2,"substitute_pois,insert_new_city","Zurich, Switzerland","Zurich, Switzerland",4,summer,8,balanced,0.25,0.25,0.25,0.25,64.9453029,64.9453029,0.0,0.064488,-
3,convert_travel_day_to_stay,1|2,"substitute_pois,insert_new_city","Geneva, Switzerland","Lucerne, Switzerland",4,summer,8,balanced,0.25,0.25,0.25,0.25,68.6964926,80.3631593,11.6666667,0.127835,-
3,convert_travel_day_to_stay,1|2,"substitute_pois,insert_new_city","Interlaken, Switzerland","St. Moritz, Switzerland",4,winter,8,balanced,0.25,0.25,0.25,0.25,67.3773871,75.9707403,8.5933533,0.080774,-
3,convert_travel_day_to_stay,1|2,"substitute_pois,insert_new_city","Zurich, Switzerland","Zurich, Switzerland",4,winter,8,balanced,0.25,0.25,0.25,0.25,60.4950714,60.4950714,0.0,0.031222,-
3,convert_travel_day_to_stay,1|2,"substitute_pois,insert_new_city","Geneva, Switzerland","Lucerne, Switzerland",4,winter,8,balanced,0.25,0.25,0.25,0.25,58.3261223,62.8631593,4.537037,0.069123,-
3,convert_travel_day_to_stay,1|2,"substitute_pois,insert_new_city","Interlaken, Switzerland","St. Moritz, Switzerland",9,summer,8,balanced,0.25,0.25,0.25,0.25,76.4570073,84.160876,7.7038686,0.505867,-
3,convert_travel_day_to_stay,1|2,"substitute_pois,insert_new_city","Zurich, Switzerland","Zurich, Switzerland",9,summer,8,balanced,0.25,0.25,0.25,0.25,65.4164146,65.4164146,0.0,0.222794,-
3,convert_travel_day_to_stay,1|2,"substitute_pois,insert_new_city","Geneva, Switzerland","Lucerne, Switzerland",9,summer,8,balanced,0.25,0.25,0.25,0.25,75.738496,85.4770807,9.7385847,0.443608,-
3,convert_travel_day_to_stay,1|2,"substitute_pois,insert_new_city","Interlaken, Switzerland","St. Moritz, Switzerland",9,winter,8,balanced,0.25,0.25,0.25,0.25,71.0318192,71.0318192,0.0,0.090446,-
3,convert_travel_day_to_stay,1|2,"substitute_pois,insert_new_city","Zurich, Switzerland","Zurich, Switzerland",9,winter,8,balanced,0.25,0.25,0.25,0.25,63.1425075,63.1425075,0.0,0.129175,-
3,convert_travel_day_to_stay,1|2,"substitute_pois,insert_new_city","Geneva, Switzerland","Lucerne, Switzerland",9,winter,8,balanced,0.25,0.25,0.25,0.25,79.7934715,88.2612135,8.4677419,0.231559,-
3,convert_travel_day_to_stay,1|2,"substitute_pois,insert_new_city","Interlaken, Switzerland","St. Moritz, Switzerland",15,summer,8,balanced,0.25,0.25,0.25,0.25,79.4453673,88.400501,8.9551336,1.135446,-
3,convert_travel_day_to_stay,1|2,"substitute_pois,insert_new_city","Zurich, Switzerland","Zurich, Switzerland",15,summer,8,balanced,0.25,0.25,0.25,0.25,69.6254289,69.6254289,0.0,0.423267,-
3,convert_travel_day_to_stay,1|2,"substitute_pois,insert_new_city","Geneva, Switzerland","Lucerne, Switzerland",15,summer,8,balanced,0.25,0.25,0.25,0.25,84.619931,88.3125915,3.6926606,0.629145,-
3,convert_travel_day_to_stay,1|2,"substitute_pois,insert_new_city","Interlaken, Switzerland","St. Moritz, Switzerland",15,winter,8,balanced,0.25,0.25,0.25,0.25,81.63297,82.2354328,0.6024629,0.296379,-
3,convert_travel_day_to_stay,1|2,"substitute_pois,insert_new_city","Zurich, Switzerland","Zurich, Switzerland",15,winter,8,balanced,0.25,0.25,0.25,0.25,77.9700568,77.9700568,0.0,0.244927,-
3,convert_travel_day_to_stay,1|2,"substitute_pois,insert_new_city","Geneva, Switzerland","Lucerne, Switzerland",15,winter,8,balanced,0.25,0.25,0.25,0.25,78.3742269,83.5594121,5.1851852,0.390293,-
3,convert_travel_day_to_stay,1|2,"substitute_pois,insert_new_city","Interlaken, Switzerland","St. Moritz, Switzerland",21,summer,8,balanced,0.25,0.25,0.25,0.25,83.3706149,87.0841337,3.7135189,1.514812,-
3,convert_travel_day_to_stay,1|2,"substitute_pois,insert_new_city","Zurich, Switzerland","Zurich, Switzerland",21,summer,8,balanced,0.25,0.25,0.25,0.25,77.2747106,77.2747106,0.0,0.796139,-
3,convert_travel_day_to_stay,1|2,"substitute_pois,insert_new_city","Geneva, Switzerland","Lucerne, Switzerland",21,summer,8,balanced,0.25,0.25,0.25,0.25,78.4184858,86.5394008,8.120915,1.51822,-
3,convert_travel_day_to_stay,1|2,"substitute_pois,insert_new_city","Interlaken, Switzerland","St. Moritz, Switzerland",21,winter,8,balanced,0.25,0.25,0.25,0.25,78.9588538,84.306076,5.3472222,0.599491,-
3,convert_travel_day_to_stay,1|2,"substitute_pois,insert_new_city","Zurich, Switzerland","Zurich, Switzerland",21,winter,8,balanced,0.25,0.25,0.25,0.25,76.1814,76.1814,0.0,0.347663,-
3,convert_travel_day_to_stay,1|2,"substitute_pois,insert_new_city","Geneva, Switzerland","Lucerne, Switzerland",21,winter,8,balanced,0.25,0.25,0.25,0.25,71.8721883,83.6234404,11.751252,0.979816,-
