algorithm_id,algorithm,start_city,end_city,days,season,mtu,pref_label,nature,culture,food,sport,total_score,interest_matching,tu_utilization,city_visit_efficiency,geographic_coverage,long_travel_penalty,travel_streak_smoothness,stay_streak_smoothness,runtime_seconds,violations
2,route_planner_greedy_local:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",3,summer,8,sport_culture,0.2,0.3,0.1,0.4,77.2848946,0.7395833,0.9583333,1.0,0.8517632,1e-06,0.8496039,1.0,0.015958,-
3,route_planner:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",3,summer,8,sport_culture,0.2,0.3,0.1,0.4,77.2848946,0.7395833,0.9583333,1.0,0.8517632,1e-06,0.8496039,1.0,0.024221,-
1,route_planner_greedy:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",3,summer,10,balanced,0.25,0.25,0.25,0.25,75.8271564,0.7,0.8333333,1.0,0.8290235,0.2143784,0.8496039,1.0,0.001173,-
2,route_planner_greedy_local:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",3,summer,10,balanced,0.25,0.25,0.25,0.25,75.8271564,0.7,0.8333333,1.0,0.8290235,0.2143784,0.8496039,1.0,0.027051,-
3,route_planner:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",3,summer,10,balanced,0.25,0.25,0.25,0.25,75.8271564,0.7,0.8333333,1.0,0.8290235,0.2143784,0.8496039,1.0,0.039984,-
1,route_planner_greedy:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",3,summer,10,nature_sport,0.4,0.1,0.2,0.3,68.7665504,0.469697,0.9,1.0,0.8290235,0.2143784,0.8496039,1.0,0.001345,-
2,route_planner_greedy_local:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",3,summer,10,nature_sport,0.4,0.1,0.2,0.3,78.1382894,0.7651515,0.9666667,1.0,0.8406638,1e-06,0.8496039,1.0,0.08787,-
3,route_planner:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",3,summer,10,nature_sport,0.4,0.1,0.2,0.3,78.1382894,0.7651515,0.9666667,1.0,0.8406638,1e-06,0.8496039,1.0,0.111675,-
1,route_planner_greedy:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",3,summer,10,culture_food,0.1,0.4,0.3,0.2,65.8087439,0.4128788,0.9666667,1.0,0.8406638,1e-06,0.8496039,1.0,0.001513,-
2,route_planner_greedy_local:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",3,summer,10,culture_food,0.1,0.4,0.3,0.2,72.9072088,0.6041667,0.8666667,1.0,0.9226514,0.0673586,0.8496039,1.0,0.098377,-
3,route_planner:RoutePlanner,"Interlaken, Switzerland","St. Moritz, Switzerland",3,summer,10,culture_food,0.1,0.4,0.3,0.2,72.9072088,0.6041667,0.8666667,1.0,0.9226514,0.0673586,0.8496039,1.0,0.116361,-
