algorithm_id,algorithm,n,total_score_mean,interest_matching_mean,tu_utilization_mean,city_visit_efficiency_mean,geographic_coverage_mean,long_travel_penalty_mean,travel_streak_smoothness_mean,stay_streak_smoothness_mean,total_score_median,interest_matching_median,tu_utilization_median,city_visit_efficiency_median,geographic_coverage_median,long_travel_penalty_median,travel_streak_smoothness_median,stay_streak_smoothness_median,total_score_ci95_low,interest_matching_ci95_low,tu_utilization_ci95_low,city_visit_efficiency_ci95_low,geographic_coverage_ci95_low,long_travel_penalty_ci95_low,travel_streak_smoothness_ci95_low,stay_streak_smoothness_ci95_low,total_score_ci95_high,interest_matching_ci95_high,tu_utilization_ci95_high,city_visit_efficiency_ci95_high,geographic_coverage_ci95_high,long_travel_penalty_ci95_high,travel_streak_smoothness_ci95_high,stay_streak_smoothness_ci95_high
1,route_planner_greedy:RoutePlanner,192,69.50828206770834,0.5535235895833334,0.9600252213541666,0.6823807052083333,0.7377320697916666,0.4604805453125,0.9737883859375001,0.991827871875,69.79657465,0.5725806499999999,0.962963,0.6794872,0.72987095,0.4217238,1.0,1.0,68.87874455,0.54810745,0.96,0.6666667,0.7203836,0.2563758,0.9785148,1.0,70.5272095,0.5867183312499998,0.9666667,0.6923077,0.7377844,0.6440429575000001,1.0,1.0
2,route_planner_greedy_local:RoutePlanner,192,74.47002542291666,0.6837544697916668,0.9538650572916666,0.7153668130208333,0.7370223307291667,0.47589768125,0.9453380135416666,0.991827871875,74.15433895,0.6522330000000001,0.96,0.7692308,0.72987095,0.42605315,0.9785148,1.0,71.9744689,0.6279431,0.9555556,0.6923077,0.7202551,0.2660423,0.9699208,1.0,76.107175,0.7022114500000001,0.962963,0.7692308,0.7377844,0.6480236,1.0,1.0
3,route_planner:RoutePlanner,192,76.79344518958334,0.7154224177083334,0.9540597473958333,0.7481971177083334,0.7344385276041666,0.5706465359375,0.9073803515625,0.991972546875,76.7106286,0.6920884,0.96,0.7692308,0.7140285,0.7276129,0.949868,1.0,73.89328989125,0.6412232,0.9555556,0.6923077,0.7031400299999999,0.5906421,0.9237532,1.0,78.76751205,0.7642974,0.962963,0.7777778,0.72828209125,0.84221455,0.96347525,1.0
