algorithm_id,algorithm,start_city,end_city,days,season,mtu,pref_label,nature,culture,food,sport,total_score,interest_matching,tu_utilization,city_visit_efficiency,geographic_coverage,long_travel_penalty,travel_streak_smoothness,stay_streak_smoothness,runtime_seconds,violations
2,route_planner_greedy_local:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",4,summer,6,culture_food,0.1,0.4,0.3,0.2,52.0217213,0.1190476,1.0,0.3333333,0.5236703,1.0,1.0,1.0,0.052405,-
3,route_planner:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",4,summer,6,culture_food,0.1,0.4,0.3,0.2,52.0217213,0.1190476,1.0,0.3333333,0.5236703,1.0,1.0,1.0,0.127995,-
1,route_planner_greedy:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",4,summer,10,balanced,0.25,0.25,0.25,0.25,61.548244,0.3529412,0.95,0.3333333,0.6630202,1.0,1.0,1.0,0.138586,-
2,route_planner_greedy_local:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",4,summer,10,balanced,0.25,0.25,0.25,0.25,61.548244,0.3529412,0.95,0.3333333,0.6630202,1.0,1.0,1.0,0.128548,-
3,route_planner:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",4,summer,10,balanced,0.25,0.25,0.25,0.25,61.548244,0.3529412,0.95,0.3333333,0.6630202,1.0,1.0,1.0,0.221618,-
1,route_planner_greedy:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",4,summer,10,nature_sport,0.4,0.1,0.2,0.3,67.2776791,0.537037,1.0,0.3333333,0.5654255,1.0,1.0,1.0,0.172161,-
2,route_planner_greedy_local:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",4,summer,10,nature_sport,0.4,0.1,0.2,0.3,67.2776791,0.537037,1.0,0.3333333,0.5654255,1.0,1.0,1.0,0.373448,-
3,route_planner:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",4,summer,10,nature_sport,0.4,0.1,0.2,0.3,67.2776791,0.537037,1.0,0.3333333,0.5654255,1.0,1.0,1.0,0.161115,-
1,route_planner_greedy:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",4,summer,10,culture_food,0.1,0.4,0.3,0.2,64.6906732,0.4212963,1.0,0.3333333,0.6630202,1.0,1.0,1.0,0.0354,-
2,route_planner_greedy_local:RoutePlanner,"Zurich, Switzerland","Zurich, Switzerland",4,summer,10,culture_food,0.1,0.4,0.3,0.2,64.6906732,0.4212963,1.0,0.3333333,0.6630202,1.0,1.0,1.0,0.093801,-
