removed_label,removed_name,kept_labels,kept_names,start_city,end_city,days,season,mtu,pref_label,nature,culture,food,sport,base_score,final_score,gain,baseline_final_score,delta_vs_baseline,runtime_seconds,violations
1,substitute_pois,2|3|4,"insert_new_city,convert_travel_day_to_stay,rebalance_label_gap","Geneva, Switzerland","Lucerne, Switzerland",21,summer,8,balanced,0.25,0.25,0.25,0.25,78.4184858,87.9119499,9.4934641,89.0130357,-1.1010858,3.00395,-
1,substitute_pois,2|3|4,"insert_new_city,convert_travel_day_to_stay,rebalance_label_gap","Interlaken, Switzerland","St. Moritz, Switzerland",21,winter,8,balanced,0.25,0.25,0.25,0.25,78.9588538,81.1161713,2.1573175,84.8860621,-3.7698908,0.839156,-
1,substitute_pois,2|3|4,"insert_new_city,convert_travel_day_to_stay,rebalance_label_gap","Zurich, Switzerland","Zurich, Switzerland",21,winter,8,balanced,0.25,0.25,0.25,0.25,76.1814,76.1814,0.0,76.1814,0.0,0.417058,-
1,substitute_pois,2|3|4,"insert_new_city,convert_travel_day_to_stay,rebalance_label_gap","Geneva, Switzerland","Lucerne, Switzerland",21,winter,8,balanced,0.25,0.25,0.25,0.25,71.8721883,81.5609195,9.6887312,83.6234404,-2.0625208,0.885648,-
2,insert_new_city,1|3|4,"substitute_pois,convert_travel_day_to_stay,rebalance_label_gap","Interlaken, Switzerland","St. Moritz, Switzerland",4,summer,8,balanced,0.25,0.25,0.25,0.25,70.4745503,77.1785373,6.703987,77.1785373,0.0,0.093963,-
2,insert_new_city,1|3|4,"substitute_pois,convert_travel_day_to_stay,rebalance_label_gap","Zurich, Switzerland","Zurich, Switzerland",4,summer,8,balanced,0.25,0.25,0.25,0.25,64.9453029,64.9453029,0.0,64.9453029,0.0,0.049421,-
2,insert_new_city,1|3|4,"substitute_pois,convert_travel_day_to_stay,rebalance_label_gap","Geneva, Switzerland","Lucerne, Switzerland",4,summer,8,balanced,0.25,0.25,0.25,0.25,68.6964926,80.3631593,11.6666667,80.681982,-0.3188226,0.162425,-
2,insert_new_city,1|3|4,"substitute_pois,convert_travel_day_to_stay,rebalance_label_gap","Interlaken, Switzerland","St. Moritz, Switzerland",4,winter,8,balanced,0.25,0.25,0.25,0.25,67.3773871,67.3773871,0.0,75.9707403,-8.5933533,0.028027,-
2,insert_new_city,1|3|4,"substitute_pois,convert_travel_day_to_stay,rebalance_label_gap","Zurich, Switzerland","Zurich, Switzerland",4,winter,8,balanced,0.25,0.25,0.25,0.25,60.4950714,60.4950714,0.0,60.4950714,0.0,0.018415,-
2,insert_new_city,1|3|4,"substitute_pois,convert_travel_day_to_stay,rebalance_label_gap","Geneva, Switzerland","Lucerne, Switzerland",4,winter,8,balanced,0.25,0.25,0.25,0.25,58.3261223,67.7071408,9.3810185,67.7071408,0.0,0.039385,-
2,insert_new_city,1|3|4,"substitute_pois,convert_travel_day_to_stay,rebalance_label_gap","Interlaken, Switzerland","St. Moritz, Switzerland",9,summer,8,balanced,0.25,0.25,0.25,0.25,76.4570073,81.3851683,4.9281609,85.6618988,-4.2767306,0.534656,-
2,insert_new_city,1|3|4,"substitute_pois,convert_travel_day_to_stay,rebalance_label_gap","Zurich, Switzerland","Zurich, Switzerland",9,summer,8,balanced,0.25,0.25,0.25,0.25,65.4164146,65.4164146,0.0,65.4164146,0.0,0.135575,-
2,insert_new_city,1|3|4,"substitute_pois,convert_travel_day_to_stay,rebalance_label_gap","Geneva, Switzerland","Lucerne, Switzerland",9,summer,8,balanced,0.25,0.25,0.25,0.25,75.738496,87.810414,12.071918,87.810414,0.0,0.666641,-
